Key,Page,English,Thai,Armenian,Russian,Arabic,Farsi,Georgian
privacyPolicy.content27.14,privacyPolicy,Information From Third Party Partners,ข้อมูลจากพันธมิตรบุคคลที่สาม,,,,,
privacyPolicy.content27.15,privacyPolicy,"We receive information about you and your activities from third party partners, such as information from a partner when we jointly offer services or from an advertiser about your experiences and interactions with them. If we combine or associate information from other sources with Personal Data that we collect through the Service, we will treat the combined information as Personal Data in accordance with this Policy.",เราได้รับข้อมูลเกี่ยวกับคุณและกิจกรรมของคุณจากพันธมิตรบุคคลที่สาม เช่น ข้อมูลจากพันธมิตรเมื่อเราร่วมให้บริการ หรือจากผู้โฆษณาเกี่ยวกับประสบการณ์ และการมีปฏิสัมพันธ์กับพวกเขา หากเรารวมหรือเชื่อมโยงข้อมูลจากแหล่งอื่นๆ กับข้อมูลส่วนบุคคลที่เรารวบรวมผ่านบริการ เราจะถือว่าข้อมูลรวมเป็นข้อมูลส่วนบุคคลตามนโยบายนี้,,,,,
privacyPolicy.content27.16,privacyPolicy,"\""Automatically Collected\"" Information","ข้อมูล \""รวบรวมโดยอัตโนมัติ\""",,,,,
privacyPolicy.content27.17,privacyPolicy,"When you use the Service, we may automatically record certain information from your device by using various types of technology,including cookies. This \""automatically collected\"" information may include IP address or other device address or ID, web browser and/or device type, the web pages or sites visited just before or just after using the Service, the pages or other content you view or interacts with on the Service, and the dates and times of the visit, access, or use of the Service.","เมื่อคุณใช้บริการเราอาจบันทึกข้อมูลบางอย่างจากอุปกรณ์ของคุณโดยอัตโนมัติ โดยใช้เทคโนโลยีประเภทต่างๆ รวมถึงคุกกี้ ข้อมูล \""ที่รวบรวมโดยอัตโนมัติ\"" นี้อาจรวมถึงที่อยู่ IP หรือที่อยู่อุปกรณ์หรือ ID อื่นๆ , เว็บเบราว์เซอร์และ / หรือประเภทอุปกรณ์, หน้าเว็บหรือเว็บไซต์ที่เข้าชมก่อนหรือหลังการใช้บริการ, หน้าเว็บหรือเนื้อหาอื่นๆ โต้ตอบกับบริการ และวันที่และเวลา ของการเยี่ยมชมการเข้าถึงหรือการใช้บริการ",,,,,
privacyPolicy.title.content28,privacyPolicy,2. How We Use the Information We Collect,2. วิธีที่เราใช้ข้อมูลที่เราเก็บรวบรวม,,,,,
privacyPolicy.content28.2,privacyPolicy,"We use the information that we collect in a number of ways for the purposes of providing the Service and operating our business, including the following:",เราใช้ข้อมูลที่เรารวบรวมในหลายวิธีเพื่อวัตถุประสงค์ในการให้บริการและการดำเนินธุรกิจของเรารวมถึงต่อไปนี้:,,,,,
privacyPolicy.content28.3,privacyPolicy,Operations,การดำเนินงาน,,,,,
privacyPolicy.content28.4,privacyPolicy,"We use the information to operate, maintain, enhance and provide all features of the Service, to provide the services and information that you request, to provide support to users of the Service. We process your Personal Data solely in accordance with the directions provided by you. (legal base in cases of applicability: art. 6(1)(f) of the EU General Data Protection Regulation (GDPR).)",เราใช้ข้อมูลเพื่อดำเนินการบำรุงรักษา ปรับปรุง และมอบคุณสมบัติทั้งหมดของบริการ เพื่อให้บริการและข้อมูลที่คุณร้องขอ เพื่อให้การสนับสนุนแก่ผู้ใช้บริการ เราประมวลผลข้อมูลส่วนบุคคลของคุณ แต่เพียงผู้เดียวตามคำแนะนำของคุณ (ฐานกฎหมายในกรณีที่มีการบังคับใช้: ศิลปะ. 6 (1) (f) ของระเบียบป้องกันข้อมูลทั่วไปของสหภาพยุโรป (GDPR),,,,,
privacyPolicy.content28.5,privacyPolicy,Improvements,ปรับปรุง,,,,,
privacyPolicy.content28.6,privacyPolicy,"We use the information to understand and analyze your usage trends and preferences, to improve the Service, to develop new products, services, feature, and functionality. If this purpose require IYC to process Personal Data, then the data will only be used in anonymized or aggregated form (legal base in cases of applicability: art. 6(1)(f) of the EU General Data Protection Regulation (GDPR)).",เราใช้ข้อมูลเพื่อทำความเข้าใจ และวิเคราะห์แนวโน้มการใช้งาน และการตั้งค่าของคุณเพื่อปรับปรุงการบริการเพื่อพัฒนาผลิตภัณฑ์บริการ คุณลักษณะและการทำงานใหม่ๆ หากวัตถุประสงค์นี้ต้องการ IYC ในการประมวลผลข้อมูลส่วนบุคคลข้อมูลนั้นจะถูกใช้ในรูปแบบที่ไม่เปิดเผยชื่อหรือรวมไว้เท่านั้น (ฐานทางกฎหมายในกรณีที่มีการบังคับใช้: ศิลปะ 6 (1) (f) ของระเบียบคุ้มครองข้อมูลทั่วไปของสหภาพยุโรป (GDPR)) .,,,,,
privacyPolicy.content28.7,privacyPolicy,Communications,การสื่อสาร,,,,,
privacyPolicy.content28.8,privacyPolicy,"We may use your email address or other information to contact you (1) for administrative purposes such as customer service, to address right of privacy violations related to the Personal Data or (i) with updates on promotions and events, relating to products and services offered by us and by third parties we work with. You have the ability to opt-out of receiving any promotional communications as described below under \""Your Privacy Controls.\"" (legal base in cases of applicability: art. 6(1)(a) of the EU General Data Protection Regulation (GDPR)).","เราอาจใช้ที่อยู่อีเมล์ของคุณหรือข้อมูลอื่นๆ เพื่อติดต่อคุณ (1) เพื่อจุดประสงค์ด้านการบริหาร เช่นฝ่ายบริการลูกค้าเพื่อจัดการ กับการละเมิดความเป็นส่วนตัวที่เกี่ยวข้องกับข้อมูลส่วนบุคคลหรือ (i) พร้อมกับอัปเดตเกี่ยวกับโปรโมชั่นและกิจกรรมต่างๆ นำเสนอโดยเรา และโดยบุคคลที่สามที่เราทำงานด้วย คุณมีความสามารถในการยกเลิกการรับการสื่อสาร การส่งเสริมการขาย ตามที่อธิบายไว้ด้านล่างภายใต้ \""การควบคุมความเป็นส่วนตัวของคุณ\"" (ฐานทางกฎหมายในกรณีที่มีการบังคับใช้: ศิลปะ 6 (1) (a) ของระเบียบคุ้มครองข้อมูลทั่วไปของสหภาพยุโรป GDPR))",,,,,
privacyPolicy.content28.9,privacyPolicy,Cookies and Tracking Technologies,คุกกี้และเทคโนโลยีการติดตาม,,,,,
privacyPolicy.content28.10,privacyPolicy,"Automatically collected information and other information collected on the Service through cookies (or similar technologies) is used by us to: () personalize our Service, such as remembering your information so that you will not have to re-enter it during a visit; (i) provide customized advertisements, content; (ii) monitor and analyze the effectiveness of Service and third-party marketing",ข้อมูลที่รวบรวมโดยอัตโนมัติและข้อมูลอื่นๆ ที่รวบรวมในบริการผ่านคุกกี้ (หรือเทคโนโลยีที่คล้ายคลึงกัน) ถูกใช้โดยเราในการ: () ปรับแต่งบริการของเราเช่นการจดจำข้อมูลของคุณเพื่อที่คุณจะได้ไม่ต้องเข้าไปใหม่ (i) ให้โฆษณาที่กำหนดเองเนื้อหา (ii) ตรวจสอบและวิเคราะห์ประสิทธิภาพของการบริการ และการตลาดของบุคคลที่สาม,,,,,
privacyPolicy.content28.11,privacyPolicy,"activities; (iv) monitor aggregate site usage metrics such as total number of visitors and pages viewed; and track your entries, submissions, and status in any promotions or other activities on the Service (legal base in cases of applicability: art. 6(1)(f) of the EU General Data Protection Regulation (GDPR)",กิจกรรม; (iv) ตรวจสอบการวัดการใช้งานเว็บไซต์รวมเช่นจำนวนผู้เข้าชมและหน้าเว็บที่ดู; และติดตามรายการการส่งและสถานะของคุณในการส่งเสริมการขายหรือกิจกรรมอื่นๆ ในบริการ (ฐานกฎหมายในกรณีที่มีการบังคับใช้: ศิลปะ 6 (1) (f) ของระเบียบป้องกันข้อมูลทั่วไปของสหภาพยุโรป (GDPR),,,,,
privacyPolicy.content28.12,privacyPolicy,Analytics,การวิเคราะห์ข้อมูล,,,,,
privacyPolicy.content28.13,privacyPolicy,"We use Google Analytics to measure and evaluate access to and traffic on the Site and Apps, and create user navigation reports for our Site administrators. Google operates independently from us and has its own privacy policy, which we strongly suggest you review. We take measures to protect the technical information collected by our use of Google Analytics. The data collected will only be used on a need to know basis to resolve technical issues, administer the Site and identify visitor preferences; but in this case, the data will be in non-identifiable form. We do not use any of this information to identify you. (legal base in cases of applicability: art. 6(1)(f) of the EU General Data Protection Regulation (GDPR).",เราใช้ Google Analytics เพื่อวัดและประเมินการเข้าถึงและปริมาณการใช้งานบนไซต์และแอปพลิเคชั่นและสร้างรายงาน การนำทางผู้ใช้สำหรับผู้ดูแลเว็บไซต์ของเรา Google ทำงานอย่างอิสระจากเรา และมีนโยบายความเป็นส่วนตัวของตัวเอง ซึ่งเราขอแนะนำให้คุณตรวจสอบ เราใช้มาตรการเพื่อปกป้องข้อมูลทางเทคนิคที่รวบรวมโดยการใช้ Google Analytics ของเรา ข้อมูลที่รวบรวมจะถูกใช้บนพื้นฐานที่จำเป็นต้องรู้เพื่อแก้ไขปัญหาทางเทคนิคจัดการไซต์และระบุการตั้งค่าของผู้เยี่ยมชม แต่ในกรณีนี้ข้อมูลจะอยู่ในรูปแบบที่ไม่สามารถระบุตัวได้ เราไม่ใช้ข้อมูลนี้เพื่อระบุตัวคุณ (ฐานกฎหมายในกรณีที่มีการบังคับใช้: ศิลปะ. 6 (1) (f) ของระเบียบป้องกันข้อมูลทั่วไปของสหภาพยุโรป (GDPR),,,,,
privacyPolicy.content28.14,privacyPolicy,We'll surely obtain your consent if we use your information for the purposes not specified under this Policy.,เราจะได้รับความยินยอมจากคุณอย่างแน่นอน หากเราใช้ข้อมูลของคุณเพื่อจุดประสงค์ที่ไม่ได้ระบุไว้ในนโยบายนี้,,,,,
privacyPolicy.content28.15,privacyPolicy,"If you want to have more detailed information on certain cookies used, please refer to IYC Website Cookie Policy.",หากคุณต้องการมีข้อมูลรายละเอียดเพิ่มเติมเกี่ยวกับคุกกี้ที่ใช้ โปรดอ้างอิงนโยบายเว็บไซต์คุกกี้ของ IYC,,,,,
privacyPolicy.title.content29,privacyPolicy,3. How We Share Your Data,3. เราแบ่งปันข้อมูลของคุณอย่างไร,,,,,
privacyPolicy.content29.2,privacyPolicy,"Except for the cases mentioned in this Policy, we will not intentionally disclose the Personal Data we collect or store to third parties without your consent. We may disclose information to third parties only if you consent, as well as in the following cases:",ยกเว้นกรณีที่กล่าวถึงในนโยบายนี้เราจะไม่เปิดเผยข้อมูลส่วนบุคคลที่เรารวบรวมหรือจัดเก็บให้แก่บุคคลที่สาม โดยไม่ได้รับอนุญาตจากคุณ เราอาจเปิดเผยข้อมูลต่อบุคคลที่สามก็ต่อเมื่อคุณยินยอมเช่นเดียวกับในกรณีต่อไปนี้:,,,,,
privacyPolicy.content29.3,privacyPolicy,Service Providers/Partners,ผู้ให้บริการ / พันธมิตร,,,,,
privacyPolicy.content29.4,privacyPolicy,"We work with third party service providers who provide website, application development, hosting, maintenance, and other services for us. These third parties may have access to, or process Personal as part of providing those services for us. We limit the information provided to these service providers to that which is reasonably necessary for them to perform their functions, and our contracts with them require them to maintain the confidentiality of such information.",เราทำงานร่วมกับผู้ให้บริการบุคคลที่สาม ที่ให้บริการเว็บไซต์การพัฒนาแอปพลิเคชั่น การบำรุงรักษาและบริการอื่นๆ สำหรับเรา บุคคลที่สามเหล่านี้อาจเข้าถึงหรือประมวลผลส่วนบุคคล ซึ่งเป็นส่วนหนึ่งของการให้บริการเหล่านั้นสำหรับเรา เราจำกัดข้อมูลที่ให้แก่ผู้ให้บริการเหล่านี้เท่าที่จำเป็นสำหรับพวกเขา ในการปฏิบัติหน้าที่และสัญญาของเรากับพวกเขา กำหนดให้พวกเขาต้องรักษาความลับของข้อมูลดังกล่าว,,,,,
privacyPolicy.content29.5,privacyPolicy,Non Personally Identifiable Information,ข้อมูลที่ไม่สามารถระบุตัวบุคคลได้,,,,,
privacyPolicy.content29.6,privacyPolicy,"We may make certain automatically-collected, aggregated, or otherwise non-personally-identifiable information available to third parties for a number of purposes, including (i) compliance with various reporting obligations; (i) for business or marketing purposes; or (i) to assist such parties in understanding your interests and usage patterns for certain programs, content, services, and/or functionality available through the Service.",เราอาจจัดทำข้อมูลที่รวบรวมได้โดยอัตโนมัติ หรืออื่นๆ ที่ไม่ใช่ข้อมูลส่วนบุคคล ที่สามารถระบุตัวตนได้โดยบุคคลที่สาม ตามวัตถุประสงค์หลายประการรวมถึง (i) การปฏิบัติตามข้อผูกพันในการรายงานที่หลากหลาย (i) เพื่อวัตถุประสงค์ทางธุรกิจหรือการตลาด หรือ (i) เพื่อช่วยเหลือบุคคลดังกล่าวในการทำความเข้าใจ ความสนใจและรูปแบบการใช้งานของคุณสำหรับโปรแกรมเนื้อหาบริการและ / หรือฟังก์ชันการทำงานบางอย่างที่มีให้ผ่านทางบริการ,,,,,
privacyPolicy.content29.7,privacyPolicy,Legal Purposes,วัตถุประสงค์ทางกฎหมาย,,,,,
privacyPolicy.content29.8,privacyPolicy,"We may disclose Personal Data or other information if required to do so by law or in the good-faith belief that such action is necessary to comply with applicable laws, in response to a facially valid court order, judicial or other government notice, or to otherwise cooperate with other governmental agencies.",เราอาจเปิดเผยข้อมูลส่วนบุคคลหรือข้อมูลอื่นๆ หากจำเป็นต้องทำตามกฎหมาย หรือโดยความเชื่อโดยสุจริตว่าการกระทำดังกล่าวมีความจำเป็น เพื่อให้สอดคล้องกับกฎหมายที่บังคับใช้ เพื่อตอบสนองคำสั่งศาลที่มีผลบังคับใช้อย่างเป็นทางการ หรือการร่วมมือกับหน่วยงานอื่นของรัฐ,,,,,
privacyPolicy.content29.9,privacyPolicy,"We also reserve the right to disclose Personal Data or other information that we believe, in good faith, is appropriate or necessary to (i) take precautions against liability, (i) protect ourselves or others from fraudulent, abusive, or unlawful uses or activity, (ii) defend ourselves against any third-party claims or allegations, (iv) protect the security or integrity of the Service and any facilities or equipment used to make the Service available, or protect our property or other legal rights, enforce our contracts, or protect the rights, property, or safety of others.",เราขอสงวนสิทธิ์ในการเปิดเผยข้อมูลส่วนบุคคลหรือข้อมูลอื่นๆ ที่เราเชื่อโดยสุจริตว่ามีความเหมาะสมหรือจำเป็นในการ (i) ใช้ความระมัดระวังต่อความรับผิด (i) ปกป้องตนเองหรือผู้อื่นจากการใช้งานหรือฉ้อโกง (ii) ป้องกันตนเองจากข้อเรียกร้องหรือข้อกล่าวหาของบุคคลที่สาม (iv) ปกป้องความปลอดภัยหรือความสมบูรณ์ของบริการและสิ่งอำนวยความสะดวกหรืออุปกรณ์ใดๆ ที่ใช้ในการให้บริการหรือปกป้องทรัพย์สินของเรา หรือสิทธิ์ตามกฎหมายอื่นๆ หรือปกป้องสิทธิ์ทรัพย์สินหรือความปลอดภัยของผู้อื่น,,,,,
privacyPolicy.content29.10,privacyPolicy,Ownership Shift,การเปลี่ยนความเป็นเจ้าของ,,,,,
privacyPolicy.content29.11,privacyPolicy,"Personal Data, may be disclosed and/or otherwise transferred to an acquirer, successor or assignee as part of any merger, acquisition, sale of assets, or similar transaction, as well as in in cases of an insolvency, bankruptcy, when information is transferred to third parties as one of our business assets and only if the recipient of such data commits to a Privacy Policy that has terms complying with this Privacy Policy and applicable legislation in force.",ข้อมูลส่วนบุคคลอาจถูกเปิดเผยและ / หรือถ่ายโอนไปยังผู้ซื้อผู้สืบทอดหรือผู้รับมอบหมาย เป็นส่วนหนึ่งของการควบรวมกิจการการขายสินทรัพย์หรือการทำธุรกรรมที่คล้ายกัน รวมทั้งในกรณีล้มละลายล้มละลายเมื่อมีการถ่ายโอนข้อมูล ต่อบุคคลที่สามซึ่งเป็นหนึ่งในสินทรัพย์ทางธุรกิจของเรา และเฉพาะในกรณีที่ผู้รับข้อมูลดังกล่าวยอมรับนโยบายความเป็นส่วนตัวที่มีข้อกำหนดที่ปฏิบัติตามนโยบายความเป็นส่วนตัวนี้และกฎหมายที่บังคับใช้,,,,,
privacyPolicy.title.content30,privacyPolicy,4. Your Privacy Controls,4. การควบคุมความเป็นส่วนตัวของคุณ,,,,,
privacyPolicy.content30.2,privacyPolicy,"Access, Correction, Erasure",การเข้าถึง การแก้ ไขการลบ,,,,,
privacyPolicy.content30.3,privacyPolicy,"Your privacy rights are a priority for us, so we provide you with reasonable access to the Personal Data that you may have provided through your use of the Services.  If you wish to access or amend any other Personal Data we hold about you, or to request that we delete or transfer any information about you that we have obtained from an Integrated Service, you may contact us as set forth in the \""How to Contact Us\"" section. At your request, we will have any reference to you deleted or blocked in our database.","สิทธิ์ความเป็นส่วนตัวของคุณเป็นสิ่งสำคัญสำหรับเรา ดังนั้นเราจึงให้การเข้าถึงข้อมูลส่วนบุคคลที่คุณอาจมีให้โดยผ่านการใช้บริการของคุณ หากคุณต้องการเข้าถึงหรือแก้ไขข้อมูลส่วนบุคคลอื่นๆ ที่เรามีเกี่ยวกับคุณ หรือขอให้เราลบหรือถ่ายโอนข้อมูลใดๆ เกี่ยวกับคุณที่เราได้รับจากบริการแบบรวม คุณสามารถติดต่อเราตามที่กำหนดไว้ใน \""วิธีการ ติดต่อเรา\"" ส่วน ตามคำขอของคุณเราจะมีการอ้างอิงถึงการลบของคุณ หรือบล็อกในฐานข้อมูลของเรา",,,,,
privacyPolicy.content30.4,privacyPolicy,"You may decline to share certain Personal Data with us, in which case we may not be able to provide to you sore of the features and functionality of the Service.",คุณอาจปฏิเสธที่จะแบ่งปันข้อมูลส่วนบุคคลบางอย่างกับเรา ซึ่งในกรณีนี้เราอาจไม่สามารถให้ข้อมูลเกี่ยวกับคุณสมบัติและฟังก์ชั่นการใช้งานของคุณแก่คุณได้,,,,,
privacyPolicy.content30.5,privacyPolicy,"At any time, you may object to the processing of your Personal Data, on legitimate grounds, except if otherwise permitted by applicable law. If you believe your right to privacy granted by applicable data protection laws has been compromised, IYC's Data Protection Officer can be contacted at dpo@ifyoucan.com. You also have a right to lodge a complaint with data protection authorities.",คุณสามารถคัดค้านการประมวลผลข้อมูลส่วนบุคคลของคุณได้ทุกเมื่อ โดยชอบด้วยกฎหมายยกเว้นในกรณีที่กฎหมายอนุญาต หากคุณเชื่อว่าสิทธิในความเป็นส่วนตัวที่ได้รับจากกฎหมายการป้องกันข้อมูลที่บังคับใช้นั้นถูก ล่วงละเมิดเจ้าหน้าที่คุ้มครองข้อมูลของ IYC สามารถติดต่อได้ที่ dpo@ifyoucan.com นอกจากนี้คุณยังมีสิทธิ์ยื่นเรื่องร้องเรียนกับหน่วยงานคุ้มครองข้อมูล,,,,,
privacyPolicy.content30.6,privacyPolicy,"If you want to request IYC to remove the data, you may be required to fill out the Erasure Request Form (go to Account Settings -> Request for Account Deletion -Delete Account) and provide sufficient information for us to be able to identify you.",หากคุณต้องการขอให้ IYC ลบข้อมูลคุณอาจต้องกรอกแบบฟอร์มคำขอลบข้อมูล (ไปที่การตั้งค่าบัญชี -> คำขอการลบบัญชี - ลบบัญชี) และให้ข้อมูลที่เพียงพอเพื่อให้เราสามารถระบุตัวคุณได้,,,,,
privacyPolicy.content30.7,privacyPolicy,"We will respond to the request within 30 days. We will delete, amend or block access to any Personal Data that we are storing only if we receive a written request (filled out form) to do so from you or authorised person, unless we have a legal right to retain such Personal Data. We reserve the right to retain a copy of such data for archiving purposes, or to defend our rights in litigation.",เราจะตอบกลับคำขอภายใน 30 วัน เราจะลบแก้ไขหรือปิดกั้นการเข้าถึงข้อมูลส่วนบุคคลใดๆ ที่เราจัดเก็บเฉพาะเมื่อเราได้รับคำขอเป็นลายลักษณ์อักษร (กรอกแบบฟอร์ม) เพื่อให้คุณหรือผู้ที่ได้รับอนุญาตเว้นแต่ว่าเรามีสิทธิ์ตามกฎหมายในการเก็บรักษาข้อมูลส่วนบุคคลดังกล่าว เราขอสงวนสิทธิ์ในการเก็บรักษาสำเนาของข้อมูลดังกล่าวเพื่อวัตถุประสงค์ในการเก็บถาวรหรือเพื่อปกป้องสิทธิ์ของเราในการดำเนินคดี,,,,,
privacyPolicy.content30.8,privacyPolicy,Opting out from Commercial Communications,การยกเลิกการสื่อสารเชิงพาณิชย์,,,,,
privacyPolicy.content30.9,privacyPolicy,"If you receive commercial emails from us, you may unsubscribe at any time by following the instructions contained within the email or by sending an email to the address provided in the \""How to Contact Us\"" section.","หากคุณได้รับอีเมล์เชิงพาณิชย์จากเรา คุณสามารถยกเลิกการสมัครได้ตลอดเวลา โดยทำตามคำแนะนำที่มีอยู่ในอีเมล์หรือส่งอีเมล์ไปยังที่อยู่ที่ให้ไว้ในส่วน \""วิธีการติดต่อเรา\""",,,,,
privacyPolicy.content30.10,privacyPolicy,"Please be informed that if you opt-out of receiving commercial email from us, it may take up to ten (10) business days for us to process your request. And even after you opt-out from receiving commercial messages from us, you will still receive administrative messages from us regarding the Service.",โปรดทราบว่าหากคุณยกเลิกการรับอีเมล์เชิงพาณิชย์จากเราอาจใช้เวลาถึงสิบ (10) วันทำการในการดำเนินการตามคำขอของคุณ และแม้หลังจากที่คุณยกเลิกการรับข้อความโฆษณาจากเรา คุณจะยังคงได้รับข้อความการดูแลจากเราเกี่ยวกับบริการ,,,,,
privacyPolicy.title.content31,privacyPolicy,5. Data Retention,5. การเก็บรักษาข้อมูล,,,,,
privacyPolicy.content31.2,privacyPolicy,"We only retain the Personal Data collected from you as long as your account is active or otherwise for a limited period of time as long as we need it to fulfil the purposes for which we have initially collected it, unless otherwise required by law. We will retain and use information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements as follows:",เราเก็บรักษาข้อมูลส่วนบุคคลที่รวบรวมจากคุณ ตราบใดที่บัญชีของคุณมีการใช้งานหรือเป็นอย่างอื่นในช่วงระยะเวลาที่จำกัด ตราบเท่าที่เราต้องการเพื่อให้บรรลุวัตถุประสงค์ที่เราได้ทำการรวบรวมในตอนแรกเว้นแต่กฎหมายกำหนดไว้เป็นอย่างอื่น เราจะเก็บและใช้ข้อมูลตามที่จำเป็นเพื่อปฏิบัติตามภาระผูกพันทางกฎหมายของเราแก้ไขข้อพิพาทและบังคับใช้ข้อตกลงของเราดังต่อไปนี้:,,,,,
privacyPolicy.content31.3,privacyPolicy,. the contents of INACTIVE ACCOUNTS are deleted within one (1) month from the date of notification ;,. เนื้อหาของบัญชีที่ไม่ใช้งานจะถูกลบภายในหนึ่ง (1) เดือนจากวันที่ได้รับแจ้ง,,,,,
privacyPolicy.content31.4,privacyPolicy,. backups are kept for the period not exceeding 30 days,. การสำรองข้อมูลจะถูกเก็บไว้สำหรับระยะเวลาไม่เกิน 30 วัน,,,,,
privacyPolicy.content31.5,privacyPolicy,. billing information is retained for a period required by accounting and taxation laws,. ข้อมูลการเรียกเก็บเงินจะถูกเก็บไว้ตามระยะเวลาที่กำหนดโดยกฎหมายการบัญชีและภาษี,,,,,
privacyPolicy.content31.6,privacyPolicy,. information on legal transactions between you and IYC is retained for a period set for civil claims under appropriate jurisdictions,. ข้อมูลเกี่ยวกับธุรกรรมทางกฎหมายระหว่างคุณกับ IYC นั้นจะถูกเก็บไว้เป็นระยะเวลาที่กำหนดไว้สำหรับการเรียกร้องทางแพ่งภายใต้เขตอำนาจศาลที่เหมาะสม,,,,,
privacyPolicy.content31.7,privacyPolicy,INACTIVE ACCOUNTS are the accounts the holders of which have not used the services for a period exceeding and or equal to two calendar years.,บัญชีผู้ใช้งานเป็นบัญชีของผู้ที่ไม่ได้ใช้บริการเป็นระยะเวลาเกินและหรือเท่ากับสองปีปฏิทิน,,,,,
privacyPolicy.content31.8,privacyPolicy,"Upon expiry of the above mentioned two year period you will be sent a notification informing you on the future deletion of the account. Unless you contact IYC via email in the period of 1 month upon such notification receipt your account will be qualified as INACTIVE and deleted accordingly. In case you login to your account in the above mentioned 1 (one) month period, we'll consider your account as active again and no data of yours will be deleted.",เมื่อพ้นกำหนดระยะเวลาสองปีที่กล่าวมาคุณจะได้รับการแจ้งเตือนเกี่ยวกับการลบบัญชีในอนาคต หากคุณไม่ได้ติดต่อ IYC ทางอีเมลในระยะเวลา 1 เดือนเมื่อได้รับการแจ้งเตือนบัญชีของคุณจะมีคุณสมบัติเป็นไม่ได้ใช้งานและถูกลบออก ในกรณีที่คุณลงชื่อเข้าใช้บัญชีของคุณในช่วงเวลา 1 (หนึ่ง) เดือนข้างต้นเราจะถือว่าบัญชีของคุณใช้งานได้อีกครั้งและจะไม่มีการลบข้อมูลของคุณ,,,,,
privacyPolicy.title.content32,privacyPolicy,6. Storage and Transfer,6. การจัดเก็บและโอน,,,,,
privacyPolicy.content32.2,privacyPolicy,"Your information collected through the IYC Service may be stored and processed in the United States, Europe, or any other country in which IYC or its subsidiaries, affiliates or service providers maintain facilities. IYC may transfer information that we collect about you, including personal information, to affiliated entities, or to other third parties across borders and from your country or jurisdiction to other countries or jurisdictions around the world. If you are located in the European Union or European Economic Area, please note that if we transfer information, including personal data, to a country outside of the European Union or European Economic Area, IYC shall ensure compliance with appropriate safeguards under the Article 46 of the EU General Data Protection Regulation (GDPR).",ข้อมูลของคุณที่รวบรวมผ่านบริการ IYC อาจถูกจัดเก็บและประมวลผลในสหรัฐอเมริกายุโรปหรือประเทศอื่นๆ ที่ IYC หรือ บริษัทย่อย บริษัทในเครือ หรือผู้ให้บริการดูแลรักษาสถานที่ IYC อาจถ่ายโอนข้อมูลที่เรารวบรวมเกี่ยวกับคุณ รวมถึงข้อมูลส่วนบุคคลไปยังหน่วยงานในเครือหรือบุคคลที่สามอื่นๆ ข้ามพรมแดนและจากประเทศหรือเขตอำนาจของคุณไปยังประเทศอื่น หรือเขตอำนาจศาลทั่วโลก หากคุณอยู่ในสหภาพยุโรปหรือเขตเศรษฐกิจยุโรปโปรดทราบว่าหากเราถ่ายโอนข้อมูล รวมถึงข้อมูลส่วนบุคคลไปยังประเทศนอกสหภาพยุโรปหรือเขตเศรษฐกิจยุโรป IYC จะต้องมั่นใจว่าได้ปฏิบัติตามมาตรการป้องกันที่เหมาะสมภายใต้มาตรา 46 ของ ระเบียบว่าด้วยการคุ้มครองข้อมูลทั่วไปของสหภาพยุโรป (GDPR),,,,,
privacyPolicy.title.content33,privacyPolicy,7. How we secure your data,7. วิธีที่เรารักษาความปลอดภัยข้อมูลของคุณ,,,,,
privacyPolicy.content33.2,privacyPolicy,"We comply with generally accepted industry standards to protect the information submitted to us. We maintain appropriate administrative, technical and physical safeguards to protect Personal Data against accidental or unlawful destruction, accidental loss, unauthorized disclosure or access and any other unlawful form of processing of the Personal Data in our possession. This includes firewalls, password protection and other access and authentication controls. We use certain technology to encrypt data during transmission through public internet, and we also employ additional security features to further anonymize Personal Data. When your data is stored in our storage systems, it is further encrypted. Media files that are too difficult to encrypt are protected by the strongest industry standards and practices.",เราปฏิบัติตามมาตรฐานอุตสาหกรรมที่เป็นที่ยอมรับโดยทั่วไป เพื่อปกป้องข้อมูลที่ส่งถึงเรา เรารักษาความปลอดภัยด้านการบริหารทางเทคนิคและทางกายภาพที่เหมาะสม เพื่อปกป้องข้อมูลส่วนบุคคลจากการถูกทำลายโดยอุบัติเหตุหรือผิดกฎหมายการสูญเสียโดยอุบัติเหตุ การเปิดเผยโดยไม่ได้รับอนุญาต หรือการเข้าถึงและการประมวลผลข้อมูลส่วนบุคคลอื่นๆ ซึ่งรวมถึงไฟร์วอลล์การป้องกันด้วยรหัสผ่าน และการควบคุมการเข้าถึงและการรับรองความถูกต้องอื่นๆ เราใช้เทคโนโลยีบางอย่างเพื่อเข้ารหัสข้อมูลระหว่างการส่งผ่านอินเทอร์เน็ตสาธารณะและเรายังใช้คุณสมบัติความปลอดภัยเพิ่มเติมเพื่อไม่เปิดเผยข้อมูลส่วนบุคคลเพิ่มเติม เมื่อข้อมูลของคุณถูกเก็บไว้ในระบบจัดเก็บข้อมูลของเรามันจะถูกเข้ารหัสเพิ่มเติม ไฟล์สื่อที่เข้ารหัสยากเกินไปได้รับการคุ้มครองตามมาตรฐานอุตสาหกรรมและแนวทางปฏิบัติที่แข็งแกร่งที่สุด,,,,,
